date,배추_거래량(kg),배추_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),상추_거래량(kg),상추_가격(원/kg),양상추_거래량(kg),양상추_가격(원/kg),무_거래량(kg),무_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),Unnamed: 0
20171014,4859.0,694.0,4632.0,1090.0,900.0,5199.0,3203.0,3861.0,145.0,1103.0,3278.0,1558.0,835.0,800.0,9729.78,409.0,1663.0,1540.0,
20171015,,,,,,,,,,,,,,,,,,,
20171016,6607.8,797.0,6706.5,1092.0,382.4,5531.0,3565.1,3776.0,190.0,1177.0,3590.6,1745.0,1287.3,968.0,20118.28,445.0,1860.1,1517.0,
20171017,6240.6,749.0,4946.0,1086.0,1365.8,4958.0,2581.0,4093.0,163.0,1131.0,2882.2,2235.0,1121.9,795.0,27954.28,403.0,1610.8,1664.0,
20171018,5893.6,629.0,5214.0,1086.0,1343.4,5091.0,2650.9,4250.0,151.0,1042.0,3078.2,2158.0,963.8,926.0,38137.28,417.0,1838.3,1711.0,
20171019,5310.0,645.0,5900.5,1084.0,948.1,5444.0,2432.6,4686.0,147.0,1025.0,3198.2,2251.0,946.5,898.0,27207.28,416.0,1678.0,1626.0,
20171020,5084.6,577.0,5867.5,1025.0,1178.2,5493.0,2667.5,5103.0,128.5,901.0,3608.2,2317.0,722.5,1239.0,26700.28,458.0,1909.5,1474.0,
20171021,4831.0,583.0,4308.0,1049.0,1061.6,5500.0,3115.4,5091.0,157.0,925.0,4002.0,2008.0,720.9000000000001,1210.0,14487.78,460.0,1600.5,1451.0,
20171022,,,,,,,,,,,,,,,,,,,
20171023,5164.2,837.0,5057.5,1054.0,1129.0,5572.0,3308.3,5241.0,174.5,1081.0,3640.4,2220.0,1159.6,893.0,33112.28,503.0,1626.5,1939.0,
20171024,5408.0,820.0,4657.0,1019.0,1344.8,5198.0,2544.5,5531.0,176.5,1136.0,3530.2,2233.0,1274.3,725.0,56380.46,527.0,1673.5,2184.0,
20171025,4979.0,785.0,5459.0,1013.0,1015.2,5689.0,2876.0,5220.0,147.5,1061.0,3394.2,2225.0,977.9,836.0,62539.28,460.0,1829.3,2204.0,
20171026,5235.0,656.0,4370.5,1023.0,1280.8,5471.0,2762.6,4813.0,150.5,942.0,3326.2,2055.0,1017.2,817.0,50442.28,440.0,1892.8,2034.0,
20171027,4741.6,689.0,4347.5,1018.0,1312.0,5537.0,2782.4,4467.0,116.5,939.0,3460.2,2130.0,887.9,845.0,51284.5,398.0,2096.3,1828.0,
20171028,4123.5,723.0,4463.5,995.0,1129.0,5194.0,3014.2,4354.0,119.0,916.0,3528.7,2283.0,833.0,819.0,50339.5,408.0,1797.3,1822.0,
20171029,,,,,,,,,,,,,,,,,,,
20171030,6219.2,772.0,4200.5,1064.0,1202.2,5313.0,3212.1,4671.0,124.0,1132.0,3826.4,2216.0,938.4,1160.0,69074.28,456.0,1960.8,2157.0,
20171031,4400.0,723.0,3309.0,1089.0,1351.0,5012.0,2400.6,4531.0,136.0,1112.0,3463.2,2001.0,1047.3,1006.0,85501.28,472.0,2067.3,2284.0,
20171101,4544.0,758.0,5174.5,1053.0,1243.6,5177.0,2931.5,4190.0,135.0,1031.0,3366.2,1727.0,1223.8,1000.0,128375.78,548.0,2171.8,2137.0,
20171102,4851.0,771.0,4646.0,1120.0,1231.8,4882.0,2288.5,4307.0,191.0,990.0,3544.2,1388.0,1200.6,831.0,153630.78,591.0,2358.3,2126.0,
20171103,6207.6,817.0,3783.0,1119.0,1390.2,5106.0,2352.4,4559.0,142.0,941.0,3373.2,1411.0,920.6,733.0,152848.78,514.0,2585.8,2184.0,
20171104,4833.0,711.0,4182.5,1145.0,1281.0,5366.0,2557.5,4574.0,164.0,911.0,3270.0,1515.0,786.3,963.0,150691.28,602.0,2597.0,2170.0,
20171105,,,,,,,,,,,,,,,,,,,
20171106,6638.2,751.0,5260.0,1134.0,1505.1999999999998,5205.0,2936.6,4313.0,151.0,875.0,3289.4,1767.0,995.5,1181.0,296078.28,537.0,3381.1,2354.0,
20171107,5970.0,670.0,4298.5,1137.0,1230.0,5511.0,2062.4,4356.0,116.0,902.0,3056.2,2058.0,916.2,984.0,311595.78,540.0,3281.8,2357.0,
20171108,6402.6,728.0,4733.5,1139.0,1314.4,5133.0,2349.5,4174.0,153.5,900.0,3220.2,1760.0,922.6,945.0,322481.28,1033.0,3428.8,2121.0,
20171109,5993.6,670.0,4959.5,1138.0,990.8,5487.0,2224.5,3796.0,144.5,885.0,3284.2,1387.0,813.2,1008.0,282252.28,501.0,3672.8,1936.0,
20171110,5524.6,1460.0,6163.5,1110.0,210.6,4410.0,2392.5,3786.0,107.5,858.0,3112.2,1244.0,860.6,930.0,253414.78,520.0,3621.1,1882.0,
20171111,7001.0,765.0,4449.5,1140.0,1549.0,5179.0,2600.0,3470.0,169.0,846.0,3110.0,1192.0,771.0,931.0,339247.28,620.0,3529.5,1874.0,
20171112,,,,,,,,,,,,,,,,,,,
20171113,8000.6,728.0,5938.0,1088.0,1747.4,5184.0,2743.1,3608.0,163.0,1021.0,3002.4,1479.0,731.0999999999999,1368.0,592656.5,507.0,3917.6,2217.0,
20171114,5979.6,688.0,5333.5,1059.0,1566.8,4697.0,2063.1,3879.0,173.5,1041.0,2686.2,1843.0,935.5,1194.0,479573.78,474.0,3803.6,2376.0,
20171115,7837.6,709.0,5224.0,1049.0,1385.0,5404.0,2360.4,3632.0,201.0,1058.0,2994.2,1624.0,1085.9,895.0,304542.78,566.0,4699.3,2234.0,
20171116,7545.6,653.0,4657.5,1063.0,1322.1999999999998,5071.0,2320.3,3242.0,230.5,949.0,2824.0,1551.0,987.6,870.0,409531.28,581.0,4625.9,2184.0,
20171117,7497.6,678.0,4654.5,1080.0,1401.0,5033.0,2155.5,3290.0,130.5,1059.0,2666.2,1567.0,785.9,983.0,644218.28,1473.0,4843.4,2144.0,
20171118,7080.0,706.0,3959.5,1098.0,1099.0,5078.0,2369.0,3265.0,208.0,1213.0,2730.5,1789.0,767.0,940.0,555033.0,606.0,5305.3,2113.0,
20171119,,,,,,,,,,,,,,,,,,,
20171120,7618.2,888.0,4317.0,1161.0,1772.1999999999998,5311.0,2278.2,3804.0,149.5,1449.0,2540.4,2272.0,918.0,1221.0,583861.5,532.0,5603.2,2267.0,
20171121,5925.0,955.0,4788.5,1142.0,1212.4,4926.0,1838.5,4124.0,150.5,1284.0,2352.2,2542.0,835.6,1067.0,568024.28,554.0,4941.9,2134.0,
20171122,7375.0,901.0,4592.5,1101.0,1086.4,5669.0,2071.3,4025.0,178.0,1048.0,2358.2,2717.0,812.3,951.0,500161.18,557.0,5798.9,2114.0,
