,date,배추_거래량(kg),배추_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),상추_거래량(kg),상추_가격(원/kg),양상추_거래량(kg),양상추_가격(원/kg),무_거래량(kg),무_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),day
0,2017-10-14,4859.0,694.0,4632.0,1090.0,900.0,5199.0,3203.0,3861.0,145.0,1103.0,3278.0,1558.0,835.0,800.0,9729.78,409.0,1663.0,1540.0,토요일
1,2017-10-15,5733.4,745.5,5669.25,1091.0,641.2,5365.0,3384.05,3818.5,167.5,1140.0,3434.3,1651.5,1061.15,884.0,14924.03,427.0,1761.55,1528.5,일요일
2,2017-10-16,6607.8,797.0,6706.5,1092.0,382.4,5531.0,3565.1,3776.0,190.0,1177.0,3590.6,1745.0,1287.3,968.0,20118.28,445.0,1860.1,1517.0,월요일
3,2017-10-17,6240.6,749.0,4946.0,1086.0,1365.8,4958.0,2581.0,4093.0,163.0,1131.0,2882.2,2235.0,1121.9,795.0,27954.28,403.0,1610.8,1664.0,화요일
4,2017-10-18,5893.6,629.0,5214.0,1086.0,1343.4,5091.0,2650.9,4250.0,151.0,1042.0,3078.2,2158.0,963.8,926.0,38137.28,417.0,1838.3,1711.0,수요일
5,2017-10-19,5310.0,645.0,5900.5,1084.0,948.1,5444.0,2432.6,4686.0,147.0,1025.0,3198.2,2251.0,946.5,898.0,27207.28,416.0,1678.0,1626.0,목요일
6,2017-10-20,5084.6,577.0,5867.5,1025.0,1178.2,5493.0,2667.5,5103.0,128.5,901.0,3608.2,2317.0,722.5,1239.0,26700.28,458.0,1909.5,1474.0,금요일
7,2017-10-21,4831.0,583.0,4308.0,1049.0,1061.6,5500.0,3115.4,5091.0,157.0,925.0,4002.0,2008.0,720.9000000000001,1210.0,14487.78,460.0,1600.5,1451.0,토요일
8,2017-10-22,4997.6,710.0,4682.75,1051.5,1095.3,5536.0,3211.8500000000004,5166.0,165.75,1003.0,3821.2,2114.0,940.25,1051.5,23800.03,481.5,1613.5,1695.0,일요일
9,2017-10-23,5164.2,837.0,5057.5,1054.0,1129.0,5572.0,3308.3,5241.0,174.5,1081.0,3640.4,2220.0,1159.6,893.0,33112.28,503.0,1626.5,1939.0,월요일
10,2017-10-24,5408.0,820.0,4657.0,1019.0,1344.8,5198.0,2544.5,5531.0,176.5,1136.0,3530.2,2233.0,1274.3,725.0,56380.46,527.0,1673.5,2184.0,화요일
11,2017-10-25,4979.0,785.0,5459.0,1013.0,1015.2,5689.0,2876.0,5220.0,147.5,1061.0,3394.2,2225.0,977.9,836.0,62539.28,460.0,1829.3,2204.0,수요일
12,2017-10-26,5235.0,656.0,4370.5,1023.0,1280.8,5471.0,2762.6,4813.0,150.5,942.0,3326.2,2055.0,1017.2,817.0,50442.28,440.0,1892.8,2034.0,목요일
13,2017-10-27,4741.6,689.0,4347.5,1018.0,1312.0,5537.0,2782.4,4467.0,116.5,939.0,3460.2,2130.0,887.9,845.0,51284.5,398.0,2096.3,1828.0,금요일
14,2017-10-28,4123.5,723.0,4463.5,995.0,1129.0,5194.0,3014.2,4354.0,119.0,916.0,3528.7,2283.0,833.0,819.0,50339.5,408.0,1797.3,1822.0,토요일
15,2017-10-29,5171.35,747.5,4332.0,1029.5,1165.6,5253.5,3113.15,4512.5,121.5,1024.0,3677.55,2249.5,885.7,989.5,59706.89,432.0,1879.05,1989.5,일요일
16,2017-10-30,6219.2,772.0,4200.5,1064.0,1202.2,5313.0,3212.1,4671.0,124.0,1132.0,3826.4,2216.0,938.4,1160.0,69074.28,456.0,1960.8,2157.0,월요일
17,2017-10-31,4400.0,723.0,3309.0,1089.0,1351.0,5012.0,2400.6,4531.0,136.0,1112.0,3463.2,2001.0,1047.3,1006.0,85501.28,472.0,2067.3,2284.0,화요일
18,2017-11-01,4544.0,758.0,5174.5,1053.0,1243.6,5177.0,2931.5,4190.0,135.0,1031.0,3366.2,1727.0,1223.8,1000.0,128375.78,548.0,2171.8,2137.0,수요일
19,2017-11-02,4851.0,771.0,4646.0,1120.0,1231.8,4882.0,2288.5,4307.0,191.0,990.0,3544.2,1388.0,1200.6,831.0,153630.78,591.0,2358.3,2126.0,목요일
20,2017-11-03,6207.6,817.0,3783.0,1119.0,1390.2,5106.0,2352.4,4559.0,142.0,941.0,3373.2,1411.0,920.6,733.0,152848.78,514.0,2585.8,2184.0,금요일
21,2017-11-04,4833.0,711.0,4182.5,1145.0,1281.0,5366.0,2557.5,4574.0,164.0,911.0,3270.0,1515.0,786.3,963.0,150691.28,602.0,2597.0,2170.0,토요일
22,2017-11-05,5735.6,731.0,4721.25,1139.5,1393.1,5285.5,2747.05,4443.5,157.5,893.0,3279.7,1641.0,890.9,1072.0,223384.78000000003,569.5,2989.05,2262.0,일요일
23,2017-11-06,6638.2,751.0,5260.0,1134.0,1505.1999999999998,5205.0,2936.6,4313.0,151.0,875.0,3289.4,1767.0,995.5,1181.0,296078.28,537.0,3381.1,2354.0,월요일
24,2017-11-07,5970.0,670.0,4298.5,1137.0,1230.0,5511.0,2062.4,4356.0,116.0,902.0,3056.2,2058.0,916.2,984.0,311595.78,540.0,3281.8,2357.0,화요일
25,2017-11-08,6402.6,728.0,4733.5,1139.0,1314.4,5133.0,2349.5,4174.0,153.5,900.0,3220.2,1760.0,922.6,945.0,322481.28,1033.0,3428.8,2121.0,수요일
26,2017-11-09,5993.6,670.0,4959.5,1138.0,990.8,5487.0,2224.5,3796.0,144.5,885.0,3284.2,1387.0,813.2,1008.0,282252.28,501.0,3672.8,1936.0,목요일
27,2017-11-10,5524.6,1460.0,6163.5,1110.0,210.6,4410.0,2392.5,3786.0,107.5,858.0,3112.2,1244.0,860.6,930.0,253414.78,520.0,3621.1,1882.0,금요일
28,2017-11-11,7001.0,765.0,4449.5,1140.0,1549.0,5179.0,2600.0,3470.0,169.0,846.0,3110.0,1192.0,771.0,931.0,339247.28,620.0,3529.5,1874.0,토요일
29,2017-11-12,7500.8,746.5,5193.75,1114.0,1648.2,5181.5,2671.55,3539.0,166.0,933.5,3056.2,1335.5,751.05,1149.5,465951.89,563.5,3723.55,2045.5,일요일
30,2017-11-13,8000.6,728.0,5938.0,1088.0,1747.4,5184.0,2743.1,3608.0,163.0,1021.0,3002.4,1479.0,731.0999999999999,1368.0,592656.5,507.0,3917.6,2217.0,월요일
31,2017-11-14,5979.6,688.0,5333.5,1059.0,1566.8,4697.0,2063.1,3879.0,173.5,1041.0,2686.2,1843.0,935.5,1194.0,479573.78,474.0,3803.6,2376.0,화요일
32,2017-11-15,7837.6,709.0,5224.0,1049.0,1385.0,5404.0,2360.4,3632.0,201.0,1058.0,2994.2,1624.0,1085.9,895.0,304542.78,566.0,4699.3,2234.0,수요일
33,2017-11-16,7545.6,653.0,4657.5,1063.0,1322.1999999999998,5071.0,2320.3,3242.0,230.5,949.0,2824.0,1551.0,987.6,870.0,409531.28,581.0,4625.9,2184.0,목요일
34,2017-11-17,7497.6,678.0,4654.5,1080.0,1401.0,5033.0,2155.5,3290.0,130.5,1059.0,2666.2,1567.0,785.9,983.0,644218.28,1473.0,4843.4,2144.0,금요일
35,2017-11-18,7080.0,706.0,3959.5,1098.0,1099.0,5078.0,2369.0,3265.0,208.0,1213.0,2730.5,1789.0,767.0,940.0,555033.0,606.0,5305.3,2113.0,토요일
36,2017-11-19,7349.1,797.0,4138.25,1129.5,1435.6,5194.5,2323.6,3534.5,178.75,1331.0,2635.45,2030.5,842.5,1080.5,569447.25,569.0,5454.25,2190.0,일요일
37,2017-11-20,7618.2,888.0,4317.0,1161.0,1772.1999999999998,5311.0,2278.2,3804.0,149.5,1449.0,2540.4,2272.0,918.0,1221.0,583861.5,532.0,5603.2,2267.0,월요일
38,2017-11-21,5925.0,955.0,4788.5,1142.0,1212.4,4926.0,1838.5,4124.0,150.5,1284.0,2352.2,2542.0,835.6,1067.0,568024.28,554.0,4941.9,2134.0,화요일
39,2017-11-22,7375.0,901.0,4592.5,1101.0,1086.4,5669.0,2071.3,4025.0,178.0,1048.0,2358.2,2717.0,812.3,951.0,500161.18,557.0,5798.9,2114.0,수요일
40,2017-11-23,8238.0,878.0,4861.5,1091.0,1406.4,4852.0,2080.5,3844.0,126.5,1290.0,2454.2,2429.0,775.6,948.0,473358.59,582.0,5647.4,2117.0,목요일
41,2017-11-24,7860.0,876.0,3798.0,1091.0,1302.8,4871.0,1943.4,3750.0,194.0,1213.0,2586.2,2342.0,761.8,1202.0,475476.0,592.0,6655.0,2017.0,금요일
42,2017-11-25,6961.0,892.0,3499.0,1081.0,1215.0,5143.0,2302.0,3684.0,181.0,1361.0,2741.0,2390.0,704.0,938.0,639387.28,534.0,5830.9,1880.0,토요일
43,2017-11-26,8188.1,850.5,3729.75,1103.0,1366.7,5231.5,2262.3,3864.0,178.0,1280.0,2837.7,2434.0,715.55,1142.5,537002.64,485.5,6036.9,1981.0,일요일
44,2017-11-27,9415.2,809.0,3960.5,1125.0,1518.4,5320.0,2222.6,4044.0,175.0,1199.0,2934.4,2478.0,727.0999999999999,1347.0,434618.0,437.0,6242.9,2082.0,월요일
45,2017-11-28,7592.6,796.0,4796.5,1095.0,1028.6,4871.0,1743.5,4185.0,175.0,1203.0,2758.2,1943.0,463.3,1330.0,391443.78,497.0,6364.7,1988.0,화요일
46,2017-11-29,8030.0,667.0,3982.5,1101.0,939.2,4953.0,1968.2,4294.0,206.5,1110.0,2792.2,1745.0,651.3,1246.0,376404.28,788.0,7482.6,2023.0,수요일
47,2017-11-30,6187.6,708.0,3707.0,1108.0,1009.8,4848.0,2116.9,4240.0,128.5,1214.0,2636.2,1763.0,692.2,1388.0,295784.28,443.0,6532.3,2000.0,목요일
48,2017-12-01,7873.0,766.0,4520.0,1099.0,1227.0,4917.0,2156.0,3927.0,195.0,1069.0,2636.0,1672.0,701.0,1359.0,302393.28,466.0,6029.9,2057.0,금요일
49,2017-12-02,5345.0,785.0,3664.0,1089.0,1059.0,4972.0,2216.0,3774.0,171.0,1160.0,2812.0,1632.0,667.0,1110.0,309823.28,516.0,7992.9,2061.0,토요일
50,2017-12-03,5845.5,814.0,4119.25,1083.5,1342.0,4902.0,2221.0,3947.0,178.5,1144.0,2802.0,1768.0,741.0,1034.0,294914.53,559.0,7696.4,2090.0,일요일
51,2017-12-04,6346.0,843.0,4574.5,1078.0,1625.0,4832.0,2226.0,4120.0,186.0,1128.0,2792.0,1904.0,815.0,958.0,280005.78,602.0,7399.9,2119.0,월요일
52,2017-12-05,4883.0,816.0,5276.0,1038.0,1279.0,4715.0,1789.0,4696.0,148.0,1379.0,2728.0,2014.0,754.0,895.0,307360.78,647.0,7323.4,2279.0,화요일
53,2017-12-06,5605.0,968.0,5052.0,1006.0,961.0,4923.0,1964.0,4563.0,145.0,1343.0,2516.0,1771.0,856.0,858.0,175687.63,584.0,7998.4,2110.0,수요일
54,2017-12-07,4294.0,953.0,4171.5,1059.0,1526.2,5596.0,2034.8,4512.0,168.0,1319.0,2371.0,1719.0,717.2,1796.0,144795.38,741.0,7071.9,2115.0,목요일
55,2017-12-08,6643.2,795.0,5460.0,1018.0,1381.6,5183.0,2013.0,4719.0,151.0,1420.0,2710.4,1729.0,773.7,1433.0,189689.78,611.0,7738.0,2087.0,금요일
56,2017-12-09,4605.5,827.0,4279.0,998.0,1261.0,5255.0,2162.0,4842.0,173.0,1410.0,2901.0,1687.0,919.0,929.0,176638.28,567.0,7993.4,2084.0,토요일
57,2017-12-10,5737.85,824.0,4771.0,999.5,1316.0,5231.0,2186.9,5098.5,210.0,1405.0,2869.6,1828.5,941.2,1032.0,135435.03,579.5,8611.75,2102.5,일요일
58,2017-12-11,6870.2,821.0,5263.0,1001.0,1371.0,5207.0,2211.8,5355.0,247.0,1400.0,2838.2,1970.0,963.4,1135.0,94231.78,592.0,9230.1,2121.0,월요일
59,2017-12-12,4460.6,895.0,3771.5,994.0,1271.4,4895.0,1707.5,6460.0,181.5,1454.0,2584.2,2074.0,991.9,994.0,63646.0,543.0,7458.7,2174.0,화요일
60,2017-12-13,2953.0,1040.0,3641.5,972.0,690.8,5095.0,1863.3,6709.0,133.0,1587.0,2438.2,2231.0,1142.5,983.0,32003.91,718.0,10248.7,2270.0,수요일
